episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count
1,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9466666579246521,0.9466666579246521,663.619700120762,1.5022372007369995,0.36874136328697205,0.0,,0
2,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,641.4697000291198,1.4666767120361328,0.3902644217014313,0.0,,0
3,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,577.7067998424172,1.540249228477478,0.32791152596473694,0.0,,0
4,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,562.6263997983187,1.4996321201324463,0.36031460762023926,0.0,,0
5,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.746666669845581,0.746666669845581,553.232500096783,1.5639148950576782,0.2877730131149292,0.0,,0
6,proto,5,5,15,0.05,0.0,prototype,prototype,0,1.0,1.0,518.1516997981817,1.4618518352508545,0.40124213695526123,0.0,,0
7,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,607.1937000378966,1.5176035165786743,0.3571411371231079,0.0,,0
8,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,692.7533999551088,1.5376312732696533,0.3413388431072235,0.0,,0
9,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,561.5701000206172,1.516700267791748,0.3537227511405945,0.0,,0
10,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,530.835600104183,1.4899375438690186,0.3762936592102051,0.0,,0
11,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,547.8073998820037,1.563401460647583,0.30757376551628113,0.0,,0
12,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,560.9130999073386,1.4982247352600098,0.36761778593063354,0.0,,0
13,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.8133333325386047,0.8133333325386047,529.6838998328894,1.5395629405975342,0.30457863211631775,0.0,,0
14,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,525.5642000120133,1.4471518993377686,0.412264883518219,0.0,,0
15,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,556.5780999604613,1.509415864944458,0.3557871878147125,0.0,,0
16,proto,5,5,15,0.05,0.0,prototype,prototype,0,1.0,1.0,611.2957999575883,1.492262601852417,0.39202529191970825,0.0,,0
17,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9466666579246521,0.9466666579246521,548.2179999817163,1.4611709117889404,0.3860415518283844,0.0,,0
18,proto,5,5,15,0.05,0.0,prototype,prototype,0,1.0,1.0,533.8711999356747,1.4604111909866333,0.39610201120376587,0.0,,0
19,proto,5,5,15,0.05,0.0,prototype,prototype,0,1.0,1.0,538.9049001969397,1.554325819015503,0.31293830275535583,0.0,,0
20,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,571.1389000061899,1.484465479850769,0.38216638565063477,0.0,,0
21,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,585.1064999587834,1.5004197359085083,0.3694096803665161,0.0,,0
22,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9466666579246521,0.9466666579246521,569.7550000622869,1.5031845569610596,0.3556627631187439,0.0,,0
23,proto,5,5,15,0.05,0.0,prototype,prototype,0,1.0,1.0,641.584400087595,1.4676032066345215,0.38296690583229065,0.0,,0
24,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,631.2430999241769,1.5311158895492554,0.3317103683948517,0.0,,0
25,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,552.996400045231,1.4593918323516846,0.39263758063316345,0.0,,0
26,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,556.4827001653612,1.4606850147247314,0.38536250591278076,0.0,,0
27,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,562.2326999437064,1.5171738862991333,0.352824330329895,0.0,,0
28,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9466666579246521,0.9466666579246521,537.4912000261247,1.4577147960662842,0.41363289952278137,0.0,,0
29,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9466666579246521,0.9466666579246521,532.5639001093805,1.4964059591293335,0.3804778456687927,0.0,,0
30,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,563.8834000565112,1.49101984500885,0.37186533212661743,0.0,,0
31,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,592.9139000363648,1.5498212575912476,0.31638413667678833,0.0,,0
32,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,649.3074998725206,1.5134196281433105,0.3445064127445221,0.0,,0
33,proto,5,5,15,0.05,0.0,prototype,prototype,0,1.0,1.0,536.924900021404,1.5022838115692139,0.3691862225532532,0.0,,0
