episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count
1,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.6800000071525574,0.7200000286102295,599.9578000046313,1.605416178703308,0.22667701542377472,0.0016879475442692637,,0
2,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.8533333539962769,0.8933333158493042,568.6796999070793,1.604081392288208,0.23098282516002655,0.0025814564432948828,,0
3,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.9333333373069763,0.9466666579246521,422.398200025782,1.602707862854004,0.234241783618927,0.003987137693911791,,0
4,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.6800000071525574,0.6933333277702332,426.8095998559147,1.6055870056152344,0.22332565486431122,0.001604833989404142,,0
5,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.7200000286102295,0.7066666483879089,427.9527999460697,1.604642629623413,0.22821533679962158,0.002595646074041724,,0
6,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.7866666913032532,0.8133333325386047,410.47460003755987,1.604431390762329,0.23094414174556732,0.00231859739869833,,0
7,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.7599999904632568,0.7599999904632568,465.18529998138547,1.6041200160980225,0.23221835494041443,0.002757428213953972,,0
8,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.9200000166893005,0.9200000166893005,416.5235999971628,1.6032954454421997,0.2358091175556183,0.002448566723614931,,0
9,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.800000011920929,0.800000011920929,464.4259000197053,1.6040371656417847,0.23183764517307281,0.0028017470613121986,,0
10,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.800000011920929,0.7866666913032532,501.01180002093315,1.6032226085662842,0.23325546085834503,0.0053373114205896854,,0
11,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.9733333587646484,0.9599999785423279,492.7407999057323,1.6031074523925781,0.23802851140499115,0.003170695388689637,,0
12,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.8799999952316284,0.8799999952316284,499.23780001699924,1.602784514427185,0.23693811893463135,0.003738383762538433,,0
13,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.800000011920929,0.800000011920929,469.998300075531,1.6039881706237793,0.23165155947208405,0.002418312942609191,,0
14,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.8133333325386047,0.8133333325386047,483.50320011377335,1.6049225330352783,0.22965078055858612,0.0022450191900134087,,0
15,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.9066666960716248,0.9200000166893005,505.1856997888535,1.6035094261169434,0.23797541856765747,0.003017269540578127,,0
