episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count
1,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,554.7398999333382,1.4032938480377197,0.4310934841632843,0.0,,0
2,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,578.7891000509262,1.2576801776885986,0.522488534450531,0.0,,0
3,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,551.0805998928845,1.3018325567245483,0.4965372085571289,0.0,,0
4,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,738.4344001766294,1.4185130596160889,0.43683838844299316,0.0,,0
5,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,740.0906998664141,1.4783626794815063,0.38566407561302185,0.0,,0
6,proto,5,5,15,0.0,0.0,prototype,prototype,0,1.0,1.0,632.0098999422044,1.4285889863967896,0.4069952666759491,0.0,,0
7,proto,5,5,15,0.0,0.0,prototype,prototype,0,1.0,1.0,576.2654999271035,1.2819862365722656,0.5372430682182312,0.0,,0
8,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,574.8042999766767,1.421521544456482,0.41694971919059753,0.0,,0
9,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,529.1657000780106,1.3579611778259277,0.45403966307640076,0.0,,0
10,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,524.483900051564,1.3082460165023804,0.4698655307292938,0.0,,0
11,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,524.0925000980496,1.4612101316452026,0.41053277254104614,0.0,,0
12,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9466666579246521,0.9466666579246521,546.0463999770582,1.2781730890274048,0.5230936408042908,0.0,,0
13,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,529.3248000089079,1.418172836303711,0.39624151587486267,0.0,,0
14,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,543.3209000620991,1.429673671722412,0.3882864713668823,0.0,,0
15,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,551.7208001110703,1.3213169574737549,0.4904037415981293,0.0,,0
16,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,529.409899841994,1.4163048267364502,0.4405032992362976,0.0,,0
17,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9066666960716248,0.9066666960716248,523.1353000272065,1.396672010421753,0.40537863969802856,0.0,,0
18,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,518.8816001173109,1.3101900815963745,0.49936768412590027,0.0,,0
19,proto,5,5,15,0.0,0.0,prototype,prototype,0,1.0,1.0,560.1045999210328,1.2670114040374756,0.5129287838935852,0.0,,0
20,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.8933333158493042,0.8933333158493042,527.0511999260634,1.399523138999939,0.42050302028656006,0.0,,0
21,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,518.0521002039313,1.358797311782837,0.49616098403930664,0.0,,0
22,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9466666579246521,0.9466666579246521,522.1410000231117,1.405328392982483,0.44585007429122925,0.0,,0
23,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,559.4079999718815,1.3558331727981567,0.44236093759536743,0.0,,0
24,proto,5,5,15,0.0,0.0,prototype,prototype,0,1.0,1.0,616.6659998707473,1.2685068845748901,0.5383937954902649,0.0,,0
25,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,514.0408999286592,1.298508882522583,0.4747810959815979,0.0,,0
