episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count,holdout_acc_proto,holdout_acc_ridge
1,agent_sentinel,5,5,15,0.1,0.0,ridge,prototype,1,0.8399999737739563,0.8399999737739563,546.0642999969423,1.5922701358795166,0.2587100863456726,0.0009500765590928495,HIGH_ENTROPY|LOW_CONF,2,0.6000000238418579,0.800000011920929
2,agent_sentinel,5,5,15,0.1,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,621.4318999554962,1.5880928039550781,0.2654021680355072,0.0,HIGH_ENTROPY|LOW_CONF,2,1.0,1.0
3,agent_sentinel,5,5,15,0.1,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,549.6982999611646,1.5756902694702148,0.2840369641780853,0.0,HIGH_ENTROPY|LOW_CONF,2,1.0,1.0
4,agent_sentinel,5,5,15,0.1,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,538.6765000876039,1.5912299156188965,0.2626059055328369,0.0,HIGH_ENTROPY|LOW_CONF,2,1.0,1.0
5,agent_sentinel,5,5,15,0.1,0.0,ridge,prototype,1,0.9466666579246521,0.9466666579246521,556.7072001285851,1.5908747911453247,0.2638598680496216,0.0004734531685244292,HIGH_ENTROPY|LOW_CONF,2,0.800000011920929,0.800000011920929
6,agent_sentinel,5,5,15,0.1,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,559.459300013259,1.5865478515625,0.26477503776550293,0.0,HIGH_ENTROPY|LOW_CONF,2,0.800000011920929,0.6000000238418579
7,agent_sentinel,5,5,15,0.1,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,572.6952000986785,1.5865579843521118,0.2734643816947937,0.0,HIGH_ENTROPY|LOW_CONF,2,1.0,1.0
8,agent_sentinel,5,5,15,0.1,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,634.6038000192493,1.577720284461975,0.27670279145240784,0.0,HIGH_ENTROPY|LOW_CONF,2,1.0,1.0
9,agent_sentinel,5,5,15,0.1,0.0,prototype,prototype,0,0.8666666746139526,0.8666666746139526,621.3515000417829,1.5921494960784912,0.2579357326030731,0.0,HIGH_ENTROPY|LOW_CONF,2,1.0,0.800000011920929
10,agent_sentinel,5,5,15,0.1,0.0,ridge,prototype,1,0.8666666746139526,0.8666666746139526,666.2477999925613,1.5897034406661987,0.2668324112892151,0.0006699847290292382,HIGH_ENTROPY|LOW_CONF,2,1.0,1.0
11,agent_sentinel,5,5,15,0.1,0.0,prototype,prototype,0,0.8799999952316284,0.8799999952316284,601.4690999872983,1.5864876508712769,0.2611025869846344,0.0,HIGH_ENTROPY|LOW_CONF,2,1.0,1.0
12,agent_sentinel,5,5,15,0.1,0.0,prototype,prototype,0,0.8399999737739563,0.8399999737739563,560.2498000953346,1.5908374786376953,0.2546270489692688,0.0,HIGH_ENTROPY|LOW_CONF,2,0.800000011920929,0.800000011920929
13,agent_sentinel,5,5,15,0.1,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,573.565199971199,1.5800622701644897,0.28171291947364807,0.0,HIGH_ENTROPY|LOW_CONF,2,1.0,1.0
