episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count
1,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.8666666746139526,0.8933333158493042,471.70590003952384,1.593945860862732,0.25795528292655945,0.008913707919418812,,0
2,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.9733333587646484,0.9466666579246521,490.239700069651,1.5886268615722656,0.2713747024536133,0.015631724148988724,,0
3,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.9599999785423279,0.9599999785423279,471.9782001338899,1.589511513710022,0.2686965763568878,0.02016587369143963,,0
4,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.8933333158493042,0.9200000166893005,453.56549997814,1.5912675857543945,0.26425328850746155,0.01340099610388279,,0
5,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.8399999737739563,0.8666666746139526,443.0607999674976,1.5880961418151855,0.2726283669471741,0.014237241819500923,,0
6,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.7733333110809326,0.8266666531562805,447.6371998898685,1.595018744468689,0.25746601819992065,0.010990223847329617,,0
7,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.9066666960716248,0.9200000166893005,420.9149000234902,1.596740484237671,0.25216105580329895,0.011298605240881443,,0
8,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.9066666960716248,0.9200000166893005,466.3543999195099,1.5930171012878418,0.260358989238739,0.009124701842665672,,0
9,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.9333333373069763,0.9599999785423279,437.55210004746914,1.593232274055481,0.2625163793563843,0.0049229455180466175,,0
10,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.9599999785423279,0.9599999785423279,469.83119985088706,1.592536211013794,0.2618069052696228,0.014010860584676266,,0
11,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.9466666579246521,0.9466666579246521,421.0627998691052,1.5901144742965698,0.26959845423698425,0.014191780239343643,,0
12,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.9066666960716248,0.9066666960716248,445.74029999785125,1.5902419090270996,0.2731686234474182,0.014896842651069164,,0
13,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.8133333325386047,0.8133333325386047,448.0274000670761,1.5869495868682861,0.2776889204978943,0.012803367339074612,,0
14,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.9066666960716248,0.8933333158493042,423.76410006545484,1.596159815788269,0.2539927065372467,0.009080824442207813,,0
15,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.9866666793823242,0.9866666793823242,419.2401999607682,1.586567997932434,0.28104525804519653,0.013057579286396503,,0
16,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.8799999952316284,0.9200000166893005,419.3442000541836,1.592795968055725,0.25760355591773987,0.01859515905380249,,0
17,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.9733333587646484,0.9733333587646484,498.7057000398636,1.589232087135315,0.2728511095046997,0.008944443427026272,,0
18,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.8933333158493042,0.9466666579246521,507.39360018633306,1.5911403894424438,0.26847031712532043,0.013893203809857368,,0
19,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.9200000166893005,0.9066666960716248,497.1396999899298,1.5979957580566406,0.2483927607536316,0.002896144287660718,,0
20,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.9333333373069763,0.9466666579246521,432.95120005495846,1.5907880067825317,0.26692602038383484,0.02027307078242302,,0
21,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.8533333539962769,0.8666666746139526,496.9683999661356,1.593754529953003,0.2586219906806946,0.009207592345774174,,0
22,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.8266666531562805,0.8533333539962769,488.2946000434458,1.5944901704788208,0.2544911205768585,0.021306701004505157,,0
23,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.6933333277702332,0.7066666483879089,516.513500129804,1.597049593925476,0.24911808967590332,0.005929931066930294,,0
24,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.9466666579246521,0.9466666579246521,499.6682999189943,1.5931026935577393,0.2585691213607788,0.011049489490687847,,0
25,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.9333333373069763,0.9333333373069763,525.7737999781966,1.5913809537887573,0.2625006437301636,0.02816304750740528,,0
