episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count
1,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9733333587646484,0.9733333587646484,721.6084999963641,1.5508395433425903,0.33452463150024414,0.0052122995257377625,,0
2,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9733333587646484,0.9866666793823242,631.6436000633985,1.5566424131393433,0.32818603515625,0.004673390183597803,,0
3,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9733333587646484,0.9733333587646484,555.8960000053048,1.556523084640503,0.32842087745666504,0.003037999151274562,,0
4,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9200000166893005,0.9733333587646484,528.0049999710172,1.5559614896774292,0.32285115122795105,0.004209141246974468,,0
5,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9733333587646484,0.9733333587646484,569.9979001656175,1.5589755773544312,0.3227069675922394,0.00247736438177526,,0
6,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9200000166893005,0.9599999785423279,534.3730999156833,1.5586601495742798,0.3211545944213867,0.0021915538236498833,,0
7,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.8933333158493042,0.9333333373069763,546.8883002176881,1.5617684125900269,0.3172236680984497,0.007894628681242466,,0
8,ridge,5,5,15,0.05,0.0,ridge,ridge,0,1.0,0.9866666793823242,538.2700001355261,1.5599265098571777,0.32232144474983215,0.006721457466483116,,0
9,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9200000166893005,0.9200000166893005,574.7193000279367,1.5613380670547485,0.3155578672885895,0.0017006582347676158,,0
10,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9333333373069763,0.9599999785423279,761.8234001565725,1.5514601469039917,0.3331531286239624,0.0018880108837038279,,0
11,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9599999785423279,0.9599999785423279,971.140000037849,1.5610005855560303,0.31715327501296997,0.0029867561534047127,,0
12,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9866666793823242,0.9866666793823242,606.9290000014007,1.559105634689331,0.3246924579143524,0.014078423380851746,,0
13,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9866666793823242,0.9866666793823242,553.4810998942703,1.5564247369766235,0.328213095664978,0.0064962152391672134,,0
14,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9333333373069763,0.9200000166893005,538.644399959594,1.5679190158843994,0.3032643496990204,0.013186235912144184,,0
15,ridge,5,5,15,0.05,0.0,ridge,ridge,0,1.0,1.0,531.247999984771,1.5616309642791748,0.3187883794307709,0.003181257750838995,,0
16,ridge,5,5,15,0.05,0.0,ridge,ridge,0,1.0,1.0,554.7464000992477,1.5607960224151611,0.3228349983692169,0.003481864230707288,,0
17,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9466666579246521,0.9599999785423279,556.4872000832111,1.5608420372009277,0.3185714781284332,0.0029524043202400208,,0
18,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9733333587646484,0.9333333373069763,539.151499979198,1.575342059135437,0.2950555980205536,0.0023888994473963976,,0
19,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.8933333158493042,0.9066666960716248,546.6179999057204,1.5776948928833008,0.2884314954280853,0.003560438519343734,,0
20,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9200000166893005,0.9200000166893005,597.7064000908285,1.5646039247512817,0.31249862909317017,0.0037672282196581364,,0
21,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.8799999952316284,0.8933333158493042,674.0657000336796,1.567097544670105,0.3052067756652832,0.018371181562542915,,0
22,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.8933333158493042,0.9066666960716248,620.9138999693096,1.5577611923217773,0.31961941719055176,0.009893081150949001,,0
23,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9866666793823242,1.0,549.3418998084962,1.5552833080291748,0.3321578800678253,0.009541328996419907,,0
24,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9066666960716248,0.9466666579246521,548.1759998947382,1.5653806924819946,0.30774757266044617,0.006796198897063732,,0
25,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9066666960716248,0.9466666579246521,569.2871001083404,1.5681976079940796,0.3047751784324646,0.0021696146577596664,,0
26,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.8933333158493042,0.9066666960716248,593.6857999768108,1.5647706985473633,0.31378528475761414,0.0059383283369243145,,0
27,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9733333587646484,0.9599999785423279,585.1823999546468,1.5656671524047852,0.312405526638031,0.010975233279168606,,0
28,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9200000166893005,0.9200000166893005,533.9325999375433,1.5571157932281494,0.3227209746837616,0.008004879578948021,,0
29,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9466666579246521,0.9466666579246521,544.1640999633819,1.5660470724105835,0.3102923035621643,0.013610081747174263,,0
30,ridge,5,5,15,0.05,0.0,ridge,ridge,0,1.0,1.0,534.8559999838471,1.555039644241333,0.32907915115356445,0.0024636699818074703,,0
31,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.8933333158493042,0.9599999785423279,542.3830999061465,1.5685222148895264,0.3030233383178711,0.0040734754875302315,,0
32,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9866666793823242,1.0,520.9764998871833,1.552200436592102,0.3321143090724945,0.009517472237348557,,0
33,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9599999785423279,0.9733333587646484,539.2722999677062,1.5600697994232178,0.3237993121147156,0.005009178072214127,,0
34,ridge,5,5,15,0.05,0.0,ridge,ridge,0,1.0,0.9733333587646484,576.3639998622239,1.547139286994934,0.3416299521923065,0.00822429358959198,,0
35,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9599999785423279,0.9466666579246521,527.225999860093,1.561244010925293,0.3144173324108124,0.0029788620304316282,,0
36,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9866666793823242,0.9866666793823242,562.2837000992149,1.563178300857544,0.3175489604473114,0.005379225593060255,,0
37,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9733333587646484,0.9733333587646484,527.0035997964442,1.5734922885894775,0.29839733242988586,0.005502400454133749,,0
38,ridge,5,5,15,0.05,0.0,ridge,ridge,0,1.0,0.9733333587646484,574.3502001278102,1.5627726316452026,0.31355175375938416,0.0036156431306153536,,0
39,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9066666960716248,0.9466666579246521,532.9785000067204,1.5590693950653076,0.3168399930000305,0.006641565356403589,,0
40,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9599999785423279,0.9333333373069763,531.6119000781327,1.5687047243118286,0.2978332042694092,0.005753404926508665,,0
41,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9599999785423279,0.9733333587646484,548.9676001016051,1.5721755027770996,0.29826974868774414,0.002214844338595867,,0
42,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9599999785423279,0.9733333587646484,572.6185999810696,1.5651803016662598,0.3112775385379791,0.0034872153773903847,,0
43,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9733333587646484,0.9866666793823242,585.7892001513392,1.5585997104644775,0.3241836130619049,0.005594511516392231,,0
44,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9466666579246521,0.9599999785423279,538.923499872908,1.5521326065063477,0.33221426606178284,0.005128613207489252,,0
45,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9599999785423279,0.9733333587646484,523.0248000007123,1.5579339265823364,0.32445546984672546,0.009842131286859512,,0
46,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9866666793823242,0.9866666793823242,538.8720999471843,1.5651944875717163,0.31195068359375,0.003474318189546466,,0
47,ridge,5,5,15,0.05,0.0,ridge,ridge,0,1.0,0.9733333587646484,592.6236000377685,1.5553652048110962,0.33048245310783386,0.0028505416121333838,,0
48,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9866666793823242,0.9866666793823242,529.8918001353741,1.5556033849716187,0.3287973999977112,0.00893029198050499,,0
49,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9866666793823242,0.9866666793823242,518.3012001216412,1.553357720375061,0.33246099948883057,0.0063279010355472565,,0
50,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9733333587646484,0.9733333587646484,555.5910000111908,1.564452052116394,0.31370431184768677,0.001190400100313127,,0
51,ridge,5,5,15,0.05,0.0,ridge,ridge,0,1.0,1.0,529.8448998946697,1.5545756816864014,0.32936277985572815,0.009470254182815552,,0
52,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9466666579246521,0.9466666579246521,532.1752999443561,1.5534229278564453,0.3249249756336212,0.004889958072453737,,0
53,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9066666960716248,0.8933333158493042,528.2901998143643,1.5748814344406128,0.29182374477386475,0.0012551542604342103,,0
54,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9466666579246521,0.9466666579246521,570.7393998745829,1.5577577352523804,0.32623472809791565,0.003878469578921795,,0
55,ridge,5,5,15,0.05,0.0,ridge,ridge,0,0.9333333373069763,0.9333333373069763,514.9812998715788,1.5586460828781128,0.3216548264026642,0.005584548693150282,,0
