episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count
1,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.8399999737739563,0.8399999737739563,496.29639997147024,1.5098170042037964,0.35324379801750183,0.0,,0
2,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.9066666960716248,0.9066666960716248,432.45110008865595,1.4896434545516968,0.37221208214759827,0.0,,0
3,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.9466666579246521,0.9466666579246521,424.543600063771,1.4936991930007935,0.3607492744922638,0.0,,0
4,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,422.2734000068158,1.4903745651245117,0.37170225381851196,0.0,,0
5,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.7733333110809326,0.7733333110809326,472.3179000429809,1.5432058572769165,0.3194792568683624,0.0,,0
6,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.7733333110809326,0.7733333110809326,483.174400171265,1.4833420515060425,0.35250747203826904,0.0,,0
7,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.7599999904632568,0.7599999904632568,494.8150999844074,1.5514984130859375,0.302184522151947,0.0,,0
8,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,414.30289996787906,1.5036823749542236,0.36830538511276245,0.0,,0
9,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.7599999904632568,0.7599999904632568,417.0484999194741,1.55609130859375,0.2947310507297516,0.0,,0
10,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.8133333325386047,0.8133333325386047,424.5108999311924,1.518611192703247,0.33759039640426636,0.0,,0
11,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,423.0064998846501,1.5160375833511353,0.3555702269077301,0.0,,0
12,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.9066666960716248,0.9066666960716248,470.6278999801725,1.4883427619934082,0.35772356390953064,0.0,,0
13,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,418.1981000583619,1.4703145027160645,0.3761289417743683,0.0,,0
14,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,414.9841999169439,1.488879680633545,0.37561559677124023,0.0,,0
15,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,412.94430010020733,1.4462863206863403,0.39366960525512695,0.0,,0
16,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.8933333158493042,0.8933333158493042,423.4298998489976,1.48055100440979,0.37118417024612427,0.0,,0
17,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,502.0016999915242,1.4737153053283691,0.38916897773742676,0.0,,0
18,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.9466666579246521,0.9466666579246521,565.0917999446392,1.4783896207809448,0.38379403948783875,0.0,,0
19,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,564.3215999007225,1.4885390996932983,0.3747546076774597,0.0,,0
20,proto,5,1,15,0.05,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,640.6772001646459,1.4586554765701294,0.3932779133319855,0.0,,0
