episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count,holdout_acc_proto,holdout_acc_ridge
1,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.5733333230018616,0.5733333230018616,403.1982999294996,1.6090505123138428,0.20724056661128998,0.0,HIGH_ENTROPY|LOW_CONF,2,0.0,0.0
2,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.23999999463558197,0.23999999463558197,509.4094998203218,1.6092000007629395,0.20580945909023285,0.0,HIGH_ENTROPY|LOW_CONF,2,0.20000000298023224,0.20000000298023224
3,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.5199999809265137,0.5199999809265137,451.7542999237776,1.6088379621505737,0.20816612243652344,0.0,HIGH_ENTROPY|LOW_CONF,2,0.6000000238418579,0.4000000059604645
4,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.4000000059604645,0.4000000059604645,428.9437998086214,1.6090935468673706,0.2070314586162567,0.0,HIGH_ENTROPY|LOW_CONF,2,0.20000000298023224,0.20000000298023224
5,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.6266666650772095,0.6266666650772095,422.0270998775959,1.60871160030365,0.20979686081409454,0.0,HIGH_ENTROPY|LOW_CONF,2,0.800000011920929,0.800000011920929
6,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.3733333349227905,0.3733333349227905,450.13200026005507,1.6091586351394653,0.2063167840242386,0.0,HIGH_ENTROPY|LOW_CONF,2,0.20000000298023224,0.20000000298023224
7,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.46666666865348816,0.46666666865348816,436.76420021802187,1.6088968515396118,0.2084093540906906,0.0,HIGH_ENTROPY|LOW_CONF,2,0.6000000238418579,0.6000000238418579
8,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.36000001430511475,0.36000001430511475,402.2565996274352,1.6089982986450195,0.20766665041446686,0.0,HIGH_ENTROPY|LOW_CONF,2,0.800000011920929,0.4000000059604645
9,agent_sentinel,5,5,15,0.05,0.0,ridge,prototype,1,0.4266666769981384,0.4266666769981384,458.38339999318123,1.6046465635299683,0.22651952505111694,0.0006830031634308398,HIGH_ENTROPY|LOW_CONF,2,0.20000000298023224,0.4000000059604645
10,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.2800000011920929,0.2800000011920929,408.2212997600436,1.6090775728225708,0.20689792931079865,0.0,HIGH_ENTROPY|LOW_CONF,2,0.6000000238418579,0.4000000059604645
11,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.3866666555404663,0.3866666555404663,471.59079974517226,1.6090587377548218,0.20717285573482513,0.0,HIGH_ENTROPY|LOW_CONF,2,0.6000000238418579,0.6000000238418579
12,agent_sentinel,5,5,15,0.05,0.0,ridge,prototype,1,0.4399999976158142,0.4399999976158142,403.5439998842776,1.6031768321990967,0.22940513491630554,0.0008497509406879544,HIGH_ENTROPY|LOW_CONF,2,0.0,0.4000000059604645
