episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count
1,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2133333384990692,0.2133333384990692,457.2688997723162,1.608119010925293,0.2137323021888733,0.00019244718714617193,,0
2,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2800000011920929,0.2800000011920929,354.19079987332225,1.6078003644943237,0.214734748005867,0.00019269481708761305,,0
3,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.3333333432674408,0.3199999928474426,356.60480009391904,1.6080073118209839,0.2147974669933319,0.00030683173099532723,,0
4,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.14666666090488434,0.14666666090488434,339.442300144583,1.60800302028656,0.2137303650379181,0.00020259675511624664,,0
5,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2666666805744171,0.25333333015441895,338.96620012819767,1.608206033706665,0.2128465175628662,0.00021621376799885184,,0
6,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.20000000298023224,0.18666666746139526,316.69439980760217,1.608323335647583,0.21273450553417206,0.00013867979578208178,,0
7,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2266666740179062,0.2266666740179062,328.5083002410829,1.6080342531204224,0.21416814625263214,0.00014886890130583197,,0
8,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2933333218097687,0.2666666805744171,352.7811001986265,1.6081249713897705,0.21394063532352448,0.00019133332534693182,,0
9,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.3466666638851166,0.30666667222976685,330.2593999542296,1.607970118522644,0.21438975632190704,0.00016572364256717265,,0
10,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2266666740179062,0.20000000298023224,329.9473999068141,1.6081079244613647,0.21421490609645844,0.0002520386187825352,,0
11,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.3466666638851166,0.3333333432674408,359.3024997971952,1.6082693338394165,0.21317079663276672,0.00021865447342861444,,0
12,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2800000011920929,0.2800000011920929,323.6453998833895,1.608195424079895,0.2135334461927414,0.00019052065908908844,,0
13,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.1599999964237213,0.1733333319425583,335.9691998921335,1.6081264019012451,0.21359659731388092,0.00018879552953876555,,0
14,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2266666740179062,0.2266666740179062,329.17340006679296,1.6078139543533325,0.21499407291412354,0.00033191684633493423,,0
15,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2800000011920929,0.23999999463558197,325.93939965590835,1.6078115701675415,0.21462620794773102,0.00035490046138875186,,0
16,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.1599999964237213,0.18666666746139526,391.6905000805855,1.6079611778259277,0.21458272635936737,0.00021545164054259658,,0
17,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.18666666746139526,0.1733333319425583,329.01050010696054,1.608056664466858,0.21336115896701813,0.00017056510841939598,,0
18,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.30666667222976685,0.2666666805744171,362.10309993475676,1.6081156730651855,0.2137930542230606,0.00024630746338516474,,0
19,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.23999999463558197,0.23999999463558197,318.6206999234855,1.6079399585723877,0.21456588804721832,0.00015374200302176178,,0
20,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2266666740179062,0.2133333384990692,411.2662998959422,1.607977032661438,0.2140931487083435,0.0004136514326091856,,0
21,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.23999999463558197,0.2266666740179062,407.7568002976477,1.6077289581298828,0.21594728529453278,0.0003011103835888207,,0
22,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.23999999463558197,0.2666666805744171,318.72039986774325,1.608055830001831,0.21397845447063446,0.00019262541900388896,,0
23,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2666666805744171,0.20000000298023224,328.855499625206,1.6080799102783203,0.21398432552814484,0.0001390951219946146,,0
24,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.23999999463558197,0.2133333384990692,341.1281001754105,1.607664942741394,0.21572156250476837,0.0003348971367813647,,0
25,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.1733333319425583,0.14666666090488434,324.1258002817631,1.6080048084259033,0.21390990912914276,0.00015300656377803534,,0
26,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.3199999928474426,0.2800000011920929,315.49949990585446,1.6077946424484253,0.21502837538719177,0.00025347189512103796,,0
27,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.1599999964237213,0.18666666746139526,328.4376999363303,1.6081969738006592,0.21340207755565643,0.0002177857095375657,,0
28,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.1599999964237213,0.1733333319425583,374.5172000490129,1.6082589626312256,0.21272002160549164,0.00022387276112567633,,0
29,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2666666805744171,0.23999999463558197,332.32730021700263,1.6082584857940674,0.212980717420578,0.00021919046412222087,,0
30,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2133333384990692,0.20000000298023224,320.54710015654564,1.6080238819122314,0.21377548575401306,0.00020553394278977066,,0
31,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.18666666746139526,0.2133333384990692,375.0331001356244,1.608113169670105,0.21392732858657837,0.00021789726451970637,,0
32,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.23999999463558197,0.20000000298023224,328.2963000237942,1.6081401109695435,0.2138209342956543,0.00022081717906985432,,0
33,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.25333333015441895,0.2266666740179062,314.82480000704527,1.6076377630233765,0.21592672169208527,0.00020828361448366195,,0
34,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2666666805744171,0.25333333015441895,327.15020002797246,1.6080808639526367,0.2143397331237793,0.00035242049489170313,,0
35,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2800000011920929,0.2666666805744171,320.50619972869754,1.60817551612854,0.2134171575307846,0.00021494482643902302,,0
36,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.20000000298023224,0.23999999463558197,336.0490999184549,1.60810124874115,0.2142024040222168,0.0002678507298696786,,0
37,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.1733333319425583,0.1733333319425583,321.89180003479123,1.6081385612487793,0.2135743647813797,0.00023092167975846678,,0
38,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2133333384990692,0.2266666740179062,309.2140001244843,1.6081229448318481,0.21400441229343414,0.00016668722673784941,,0
39,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2800000011920929,0.30666667222976685,360.4204999282956,1.6081032752990723,0.21370366215705872,0.00019778276327997446,,0
40,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.09333333373069763,0.07999999821186066,318.25360003858805,1.6080024242401123,0.2141449749469757,0.0001948753633769229,,0
41,ridge,5,1,15,0.1,0.0,ridge,ridge,0,0.2266666740179062,0.23999999463558197,313.6730999685824,1.6082288026809692,0.2133985161781311,0.00013726175529882312,,0
