episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count,holdout_acc_proto,holdout_acc_ridge
1,agent,5,5,15,0.0,0.0,ridge,ridge,0,0.8666666746139526,0.8399999737739563,530.2669000811875,1.5950361490249634,0.25275516510009766,0.0025972698349505663,,0,0.800000011920929,1.0
2,agent,5,5,15,0.0,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,469.14640022441745,1.6089612245559692,0.2077641636133194,0.0,,0,0.800000011920929,0.800000011920929
3,agent,5,5,15,0.0,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,456.47950004786253,1.6083884239196777,0.21080386638641357,0.0,,0,0.800000011920929,0.800000011920929
4,agent,5,5,15,0.0,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,461.4578001201153,1.6089694499969482,0.2083723396062851,0.0,,0,1.0,1.0
5,agent,5,5,15,0.0,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,457.2577001526952,1.6089268922805786,0.20752450823783875,0.0,,0,1.0,1.0
6,agent,5,5,15,0.0,0.0,ridge,ridge,0,0.8799999952316284,0.8933333158493042,416.5326999500394,1.5966418981552124,0.25091424584388733,0.0024746893905103207,,0,0.800000011920929,1.0
7,agent,5,5,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,435.8070003800094,1.6083869934082031,0.21174256503582,0.0,,0,0.800000011920929,0.800000011920929
8,agent,5,5,15,0.0,0.0,prototype,prototype,0,0.9066666960716248,0.9066666960716248,493.06169990450144,1.6092058420181274,0.20513834059238434,0.0,,0,1.0,0.800000011920929
9,agent,5,5,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,490.18980003893375,1.6091886758804321,0.20634377002716064,0.0,,0,1.0,1.0
10,agent,5,5,15,0.0,0.0,ridge,ridge,0,0.8533333539962769,0.9066666960716248,431.62670033052564,1.593292474746704,0.25495296716690063,0.0027625092770904303,,0,0.800000011920929,1.0
11,agent,5,5,15,0.0,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,457.4661999940872,1.6089805364608765,0.20753566920757294,0.0,,0,1.0,1.0
12,agent,5,5,15,0.0,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,501.55659997835755,1.6087673902511597,0.21003133058547974,0.0,,0,1.0,1.0
13,agent,5,5,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,430.34439999610186,1.609100580215454,0.20678284764289856,0.0,,0,1.0,0.6000000238418579
14,agent,5,5,15,0.0,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,460.58669965714216,1.609031319618225,0.20718248188495636,0.0,,0,1.0,1.0
15,agent,5,5,15,0.0,0.0,prototype,prototype,0,0.9066666960716248,0.9066666960716248,539.4091997295618,1.6088687181472778,0.20888356864452362,0.0,,0,1.0,0.800000011920929
16,agent,5,5,15,0.0,0.0,ridge,ridge,0,1.0,0.9333333373069763,527.9894000850618,1.5894455909729004,0.26994702219963074,0.003660173388198018,,0,0.800000011920929,1.0
17,agent,5,5,15,0.0,0.0,ridge,ridge,0,0.8666666746139526,0.8799999952316284,457.0942004211247,1.5958797931671143,0.2534041702747345,0.0025974565651267767,,0,0.6000000238418579,0.800000011920929
18,agent,5,5,15,0.0,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,449.35410004109144,1.6088811159133911,0.20932188630104065,0.0,,0,1.0,1.0
19,agent,5,5,15,0.0,0.0,prototype,prototype,0,0.8799999952316284,0.8799999952316284,424.7968001291156,1.6092643737792969,0.2051231563091278,0.0,,0,1.0,1.0
