episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count
1,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.5333333611488342,0.5333333611488342,469.9604003690183,1.6089353561401367,0.20793302357196808,0.0,,0
2,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.5733333230018616,0.5733333230018616,519.675400108099,1.6089564561843872,0.20781435072422028,0.0,,0
3,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.5733333230018616,0.5733333230018616,699.4543001055717,1.6088709831237793,0.20829863846302032,0.0,,0
4,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.3466666638851166,0.3466666638851166,527.2495998069644,1.609163522720337,0.20637819170951843,0.0,,0
5,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.5066666603088379,0.5066666603088379,492.1399001032114,1.6088323593139648,0.208411306142807,0.0,,0
6,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.5199999809265137,0.5199999809265137,499.4981996715069,1.6089599132537842,0.20798233151435852,0.0,,0
7,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.5066666603088379,0.5066666603088379,451.69389992952347,1.6090008020401,0.20805571973323822,0.0,,0
8,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.3333333432674408,0.3333333432674408,423.59310016036034,1.6090999841690063,0.2067129909992218,0.0,,0
9,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.3199999928474426,0.3199999928474426,427.04159999266267,1.6091928482055664,0.20572489500045776,0.0,,0
10,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.36000001430511475,0.36000001430511475,442.2344001941383,1.6090409755706787,0.20730283856391907,0.0,,0
11,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.4266666769981384,0.4266666769981384,415.3318000026047,1.609032154083252,0.20681610703468323,0.0,,0
12,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.41333332657814026,0.41333332657814026,436.6475995630026,1.6090871095657349,0.20675379037857056,0.0,,0
13,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.54666668176651,0.54666668176651,425.63779978081584,1.608731746673584,0.20967160165309906,0.0,,0
14,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.47999998927116394,0.47999998927116394,430.73240015655756,1.6087102890014648,0.20929647982120514,0.0,,0
15,proto,5,5,15,0.05,0.0,prototype,prototype,0,0.3866666555404663,0.3866666555404663,447.114999871701,1.609123706817627,0.20597296953201294,0.0,,0
