episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count,holdout_acc_proto,holdout_acc_ridge
1,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2666666805744171,0.2666666805744171,293.1693997234106,1.6056913137435913,0.224070742726326,0.0,,0,,
2,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.3199999928474426,0.3199999928474426,304.7714000567794,1.6048732995986938,0.22416000068187714,0.0,,0,,
3,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.4000000059604645,0.4000000059604645,323.6783002503216,1.6048716306686401,0.22570772469043732,0.0,,0,,
4,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.18666666746139526,0.18666666746139526,291.6067000478506,1.6052367687225342,0.22341562807559967,0.0,,0,,
5,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2266666740179062,0.2266666740179062,305.2702001295984,1.6054049730300903,0.22384870052337646,0.0,,0,,
6,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.1733333319425583,0.1733333319425583,300.6004998460412,1.6065527200698853,0.220757395029068,0.0,,0,,
7,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.18666666746139526,0.18666666746139526,328.94730009138584,1.6057143211364746,0.2232515513896942,0.0,,0,,
8,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.30666667222976685,0.30666667222976685,328.56980012729764,1.6056265830993652,0.22392234206199646,0.0,,0,,
9,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.23999999463558197,0.23999999463558197,288.81890000775456,1.605578899383545,0.22329290211200714,0.0,,0,,
10,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.20000000298023224,0.20000000298023224,298.54780016466975,1.605014681816101,0.2266041785478592,0.0,,0,,
11,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.3333333432674408,0.3333333432674408,332.4291999451816,1.6058043241500854,0.2234674096107483,0.0,,0,,
12,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2800000011920929,0.2800000011920929,300.452200230211,1.6059502363204956,0.2217392474412918,0.0,,0,,
13,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.1599999964237213,0.1599999964237213,292.2634999267757,1.6054553985595703,0.2241298407316208,0.0,,0,,
14,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2666666805744171,0.2666666805744171,297.37209994345903,1.6038614511489868,0.2277296632528305,0.0,,0,,
15,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.25333333015441895,0.25333333015441895,313.7527001090348,1.6036531925201416,0.22832658886909485,0.0,,0,,
16,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.1599999964237213,0.1599999964237213,324.4873001240194,1.6052868366241455,0.2242075353860855,0.0,,0,,
17,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.1599999964237213,0.1599999964237213,313.6037001386285,1.6059046983718872,0.22112399339675903,0.0,,0,,
18,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.30666667222976685,0.30666667222976685,287.3181998729706,1.6052120923995972,0.2242664098739624,0.0,,0,,
19,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.23999999463558197,0.23999999463558197,288.297800347209,1.6057896614074707,0.22286072373390198,0.0,,0,,
20,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.20000000298023224,0.20000000298023224,284.88089982420206,1.6039971113204956,0.22811460494995117,0.0,,0,,
21,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2800000011920929,0.2800000011920929,284.96080031618476,1.6040160655975342,0.22800318896770477,0.0,,0,,
22,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.18666666746139526,0.18666666746139526,280.53659992292523,1.6055079698562622,0.22385866940021515,0.0,,0,,
23,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2133333384990692,0.2133333384990692,318.0193002335727,1.6060279607772827,0.2222241759300232,0.0,,0,,
24,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2133333384990692,0.2133333384990692,328.7778999656439,1.603900671005249,0.22828511893749237,0.0,,0,,
25,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.14666666090488434,0.14666666090488434,318.8535999506712,1.6056095361709595,0.22370359301567078,0.0,,0,,
26,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2133333384990692,0.2133333384990692,312.6798998564482,1.6048846244812012,0.22508862614631653,0.0,,0,,
27,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.18666666746139526,0.18666666746139526,305.20980013534427,1.605790615081787,0.22345209121704102,0.0,,0,,
28,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.1733333319425583,0.1733333319425583,291.24429961666465,1.6058787107467651,0.22242991626262665,0.0,,0,,
29,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.23999999463558197,0.23999999463558197,315.40160020813346,1.6055535078048706,0.22325268387794495,0.0,,0,,
30,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2266666740179062,0.2266666740179062,294.5631998591125,1.6056673526763916,0.22372688353061676,0.0,,0,,
31,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.20000000298023224,0.20000000298023224,297.3541999235749,1.6051334142684937,0.22503158450126648,0.0,,0,,
32,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2266666740179062,0.2266666740179062,316.31819996982813,1.6051229238510132,0.22635780274868011,0.0,,0,,
33,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2800000011920929,0.2800000011920929,311.20390025898814,1.6042394638061523,0.22763925790786743,0.0,,0,,
34,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2266666740179062,0.2266666740179062,307.2333000600338,1.6049418449401855,0.2264702320098877,0.0,,0,,
35,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.30666667222976685,0.30666667222976685,307.37819988280535,1.6055842638015747,0.22352473437786102,0.0,,0,,
36,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.18666666746139526,0.18666666746139526,320.72760025039315,1.605318307876587,0.22495299577713013,0.0,,0,,
37,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.20000000298023224,0.20000000298023224,285.7730998657644,1.6051968336105347,0.22451138496398926,0.0,,0,,
38,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.23999999463558197,0.23999999463558197,303.2364998944104,1.605885624885559,0.22263944149017334,0.0,,0,,
39,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2800000011920929,0.2800000011920929,318.4686996974051,1.605459213256836,0.2233017235994339,0.0,,0,,
40,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.11999999731779099,0.11999999731779099,326.3210002332926,1.6052813529968262,0.22461405396461487,0.0,,0,,
41,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2933333218097687,0.2933333218097687,344.15350016206503,1.6062827110290527,0.22183476388454437,0.0,,0,,
42,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2133333384990692,0.2133333384990692,322.28699978441,1.6054295301437378,0.2238876074552536,0.0,,0,,
43,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.25333333015441895,0.25333333015441895,315.499700140208,1.6058845520019531,0.2228204905986786,0.0,,0,,
44,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2666666805744171,0.2666666805744171,301.458400208503,1.6042143106460571,0.2285059541463852,0.0,,0,,
45,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2933333218097687,0.2933333218097687,296.26209987327456,1.605623483657837,0.22444920241832733,0.0,,0,,
46,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.25333333015441895,0.25333333015441895,288.16029988229275,1.6047327518463135,0.22444084286689758,0.0,,0,,
47,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2133333384990692,0.2133333384990692,321.45690033212304,1.6055508852005005,0.22388695180416107,0.0,,0,,
48,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.25333333015441895,0.25333333015441895,288.4152000769973,1.6057873964309692,0.22345644235610962,0.0,,0,,
49,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2666666805744171,0.2666666805744171,325.08299965411425,1.605863332748413,0.22288751602172852,0.0,,0,,
50,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2266666740179062,0.2266666740179062,314.32879995554686,1.603785753250122,0.22769363224506378,0.0,,0,,
51,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.18666666746139526,0.18666666746139526,334.2161998152733,1.6050893068313599,0.22584573924541473,0.0,,0,,
52,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.1599999964237213,0.1599999964237213,307.03499959781766,1.6054426431655884,0.22373487055301666,0.0,,0,,
53,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.2666666805744171,0.2666666805744171,336.38769993558526,1.6038856506347656,0.22889277338981628,0.0,,0,,
54,agent,5,1,15,0.1,0.0,prototype,prototype,0,0.25333333015441895,0.25333333015441895,313.8802000321448,1.605452299118042,0.22344185411930084,0.0,,0,,
