episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count,holdout_acc_proto,holdout_acc_ridge
1,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.653333306312561,0.653333306312561,405.21130012348294,1.6092617511749268,0.20457804203033447,0.0,,0,,
2,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8266666531562805,0.8266666531562805,370.50059996545315,1.609049677848816,0.20688091218471527,0.0,,0,,
3,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.9066666960716248,0.9066666960716248,413.82599994540215,1.6085585355758667,0.2103109210729599,0.0,,0,,
4,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6133333444595337,0.6133333444595337,368.0134997703135,1.609140157699585,0.20602983236312866,0.0,,0,,
5,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8666666746139526,0.8666666746139526,445.36689994856715,1.6089478731155396,0.20782577991485596,0.0,,0,,
6,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7866666913032532,0.7866666913032532,332.139799837023,1.6088659763336182,0.20785726606845856,0.0,,0,,
7,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6800000071525574,0.6800000071525574,377.10070004686713,1.6090015172958374,0.2065989226102829,0.0,,0,,
8,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8533333539962769,0.8533333539962769,326.1305997148156,1.609133005142212,0.20729854702949524,0.0,,0,,
9,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8666666746139526,0.8666666746139526,368.83100029081106,1.6079685688018799,0.21427428722381592,0.0,,0,,
10,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7333333492279053,0.7333333492279053,407.7926999889314,1.6087850332260132,0.20907407999038696,0.0,,0,,
11,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7333333492279053,0.7333333492279053,346.23789973556995,1.6088037490844727,0.20780517160892487,0.0,,0,,
12,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8266666531562805,0.8266666531562805,494.5276998914778,1.609125018119812,0.20605599880218506,0.0,,0,,
13,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8799999952316284,0.8799999952316284,340.1212999597192,1.6091080904006958,0.20700329542160034,0.0,,0,,
14,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7733333110809326,0.7733333110809326,334.44170001894236,1.6085070371627808,0.21061667799949646,0.0,,0,,
15,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.5866666436195374,0.5866666436195374,397.9742000810802,1.6090720891952515,0.20599423348903656,0.0,,0,,
16,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8399999737739563,0.8399999737739563,424.40930008888245,1.6089122295379639,0.20733705163002014,0.0,,0,,
17,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.5866666436195374,0.5866666436195374,358.41890005394816,1.6092987060546875,0.20325297117233276,0.0,,0,,
18,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7066666483879089,0.7066666483879089,371.0627998225391,1.6093136072158813,0.20428046584129333,0.0,,0,,
19,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6000000238418579,0.6000000238418579,342.81700011342764,1.6091831922531128,0.20525728166103363,0.0,,0,,
20,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,375.944800209254,1.6087510585784912,0.21039600670337677,0.0,,0,,
21,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,356.57169995829463,1.604685664176941,0.22046197950839996,0.0,,0,,
22,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7733333110809326,0.7733333110809326,351.56189976260066,1.6090103387832642,0.20735834538936615,0.0,,0,,
23,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6133333444595337,0.6133333444595337,365.69519992917776,1.6088675260543823,0.20727838575839996,0.0,,0,,
24,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6666666865348816,0.6666666865348816,353.3703996799886,1.6092818975448608,0.2043440043926239,0.0,,0,,
25,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.800000011920929,0.800000011920929,351.45669989287853,1.608963131904602,0.20781348645687103,0.0,,0,,
26,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,382.94489961117506,1.6084480285644531,0.21218009293079376,0.0,,0,,
27,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8799999952316284,0.8799999952316284,342.76159992441535,1.6090021133422852,0.20746125280857086,0.0,,0,,
28,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.5733333230018616,0.5733333230018616,346.6846998780966,1.609072208404541,0.20478878915309906,0.0,,0,,
29,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8666666746139526,0.8666666746139526,353.28999999910593,1.6088820695877075,0.20973773300647736,0.0,,0,,
30,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8799999952316284,0.8799999952316284,354.0060999803245,1.6087559461593628,0.20875267684459686,0.0,,0,,
31,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6933333277702332,0.6933333277702332,346.6397998854518,1.6092365980148315,0.20505750179290771,0.0,,0,,
32,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7733333110809326,0.7733333110809326,372.87559965625405,1.6084622144699097,0.20990273356437683,0.0,,0,,
33,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8266666531562805,0.8266666531562805,383.6848000064492,1.6092350482940674,0.20532889664173126,0.0,,0,,
34,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6933333277702332,0.6933333277702332,516.8253001756966,1.6092467308044434,0.20481754839420319,0.0,,0,,
35,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7733333110809326,0.7733333110809326,426.58969992771745,1.6088626384735107,0.20800291001796722,0.0,,0,,
36,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7733333110809326,0.7733333110809326,323.96609988063574,1.6088805198669434,0.20768436789512634,0.0,,0,,
37,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8533333539962769,0.8533333539962769,353.4188000485301,1.6088371276855469,0.20909440517425537,0.0,,0,,
38,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.4533333480358124,0.4533333480358124,409.72610004246235,1.6088696718215942,0.20797979831695557,0.0,,0,,
39,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6000000238418579,0.6000000238418579,363.6499000713229,1.6089701652526855,0.20768535137176514,0.0,,0,,
40,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.5866666436195374,0.5866666436195374,376.4015003107488,1.6093553304672241,0.20342454314231873,0.0,,0,,
41,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.5866666436195374,0.5866666436195374,376.503299921751,1.6089589595794678,0.2073231041431427,0.0,,0,,
42,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7066666483879089,0.7066666483879089,340.39600007236004,1.6090444326400757,0.2062365710735321,0.0,,0,,
43,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7866666913032532,0.7866666913032532,334.1212999075651,1.6085108518600464,0.21025784313678741,0.0,,0,,
44,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.800000011920929,0.800000011920929,494.57899993285537,1.6092010736465454,0.20530779659748077,0.0,,0,,
45,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.800000011920929,0.800000011920929,375.9952997788787,1.608619213104248,0.21051616966724396,0.0,,0,,
46,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8533333539962769,0.8533333539962769,361.49090016260743,1.6091110706329346,0.2067754864692688,0.0,,0,,
47,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8666666746139526,0.8666666746139526,377.31820018962026,1.6090030670166016,0.2074938863515854,0.0,,0,,
48,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8266666531562805,0.8266666531562805,329.2605001479387,1.609207034111023,0.2064000517129898,0.0,,0,,
49,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.54666668176651,0.54666668176651,325.83480002358556,1.6090611219406128,0.206105038523674,0.0,,0,,
50,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6666666865348816,0.6666666865348816,404.31039966642857,1.6087819337844849,0.20819050073623657,0.0,,0,,
51,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.746666669845581,0.746666669845581,446.2226000614464,1.6088134050369263,0.20977471768856049,0.0,,0,,
52,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8799999952316284,0.8799999952316284,430.32140005379915,1.608986735343933,0.20755204558372498,0.0,,0,,
53,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8533333539962769,0.8533333539962769,321.3892001658678,1.6089996099472046,0.20743341743946075,0.0,,0,,
54,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6800000071525574,0.6800000071525574,390.0790000334382,1.6085621118545532,0.2089778184890747,0.0,,0,,
55,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.746666669845581,0.746666669845581,350.0362001359463,1.607625961303711,0.21165107190608978,0.0,,0,,
56,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7866666913032532,0.7866666913032532,339.91199964657426,1.6087677478790283,0.20811401307582855,0.0,,0,,
57,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7333333492279053,0.7333333492279053,380.35809993743896,1.6089813709259033,0.2070390284061432,0.0,,0,,
58,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8799999952316284,0.8799999952316284,403.0424002557993,1.6090363264083862,0.207053080201149,0.0,,0,,
59,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.54666668176651,0.54666668176651,328.01440032199025,1.6093145608901978,0.20376798510551453,0.0,,0,,
60,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6666666865348816,0.6666666865348816,348.5428001731634,1.6087650060653687,0.20805630087852478,0.0,,0,,
61,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.9066666960716248,0.9066666960716248,408.74250000342727,1.6087335348129272,0.20998387038707733,0.0,,0,,
62,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7066666483879089,0.7066666483879089,322.4675999954343,1.6088262796401978,0.20742757618427277,0.0,,0,,
63,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8266666531562805,0.8266666531562805,414.7042999975383,1.6091415882110596,0.20593613386154175,0.0,,0,,
64,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8266666531562805,0.8266666531562805,363.57130017131567,1.6089297533035278,0.2079998403787613,0.0,,0,,
65,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,407.3216002434492,1.6088230609893799,0.20851930975914001,0.0,,0,,
66,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6800000071525574,0.6800000071525574,354.7673998400569,1.6091632843017578,0.20637041330337524,0.0,,0,,
67,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7599999904632568,0.7599999904632568,346.22070007026196,1.6085171699523926,0.21034874022006989,0.0,,0,,
68,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7733333110809326,0.7733333110809326,419.79700000956655,1.6091610193252563,0.20505839586257935,0.0,,0,,
69,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6933333277702332,0.6933333277702332,329.17390018701553,1.6091053485870361,0.20586295425891876,0.0,,0,,
70,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.746666669845581,0.746666669845581,338.55289965867996,1.6092764139175415,0.20439212024211884,0.0,,0,,
71,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8666666746139526,0.8666666746139526,328.0259002931416,1.6089223623275757,0.20905056595802307,0.0,,0,,
72,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7066666483879089,0.7066666483879089,334.7259000875056,1.6091582775115967,0.20611025393009186,0.0,,0,,
73,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,387.13649986311793,1.6090680360794067,0.20736724138259888,0.0,,0,,
74,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8399999737739563,0.8399999737739563,388.12689995393157,1.6090480089187622,0.20712541043758392,0.0,,0,,
75,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6933333277702332,0.6933333277702332,416.90330021083355,1.6092151403427124,0.20515260100364685,0.0,,0,,
76,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8666666746139526,0.8666666746139526,384.1467001475394,1.6087448596954346,0.20947383344173431,0.0,,0,,
77,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,329.66369995847344,1.6087149381637573,0.21010474860668182,0.0,,0,,
78,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,591.9861001893878,1.6090376377105713,0.20721544325351715,0.0,,0,,
79,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8399999737739563,0.8399999737739563,366.6236000135541,1.6088770627975464,0.20914390683174133,0.0,,0,,
80,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6666666865348816,0.6666666865348816,384.5452000387013,1.608557105064392,0.2129107266664505,0.0,,0,,
81,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.5600000023841858,0.5600000023841858,330.6719996035099,1.6090590953826904,0.20610646903514862,0.0,,0,,
82,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8266666531562805,0.8266666531562805,324.6600003913045,1.609120488166809,0.20614437758922577,0.0,,0,,
83,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7333333492279053,0.7333333492279053,319.24299988895655,1.6090011596679688,0.20677167177200317,0.0,,0,,
84,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6666666865348816,0.6666666865348816,327.02039973810315,1.608591079711914,0.2101655751466751,0.0,,0,,
85,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7866666913032532,0.7866666913032532,322.12849985808134,1.6085197925567627,0.20993202924728394,0.0,,0,,
86,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8666666746139526,0.8666666746139526,316.46400038152933,1.6092089414596558,0.20558129251003265,0.0,,0,,
87,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8399999737739563,0.8399999737739563,312.87730019539595,1.6089764833450317,0.2076464295387268,0.0,,0,,
88,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.746666669845581,0.746666669845581,357.9916995950043,1.6088454723358154,0.20830805599689484,0.0,,0,,
89,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6266666650772095,0.6266666650772095,353.6119000054896,1.6093417406082153,0.20349058508872986,0.0,,0,,
90,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,412.93209977447987,1.6091954708099365,0.20651397109031677,0.0,,0,,
91,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6666666865348816,0.6666666865348816,346.0168996825814,1.6087276935577393,0.20847740769386292,0.0,,0,,
92,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8266666531562805,0.8266666531562805,360.1585002616048,1.6089905500411987,0.20789329707622528,0.0,,0,,
93,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6666666865348816,0.6666666865348816,439.76050009950995,1.6087013483047485,0.20941218733787537,0.0,,0,,
94,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.7733333110809326,0.7733333110809326,365.8255999907851,1.6090805530548096,0.20694129168987274,0.0,,0,,
95,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,358.196800108999,1.6084084510803223,0.21247373521327972,0.0,,0,,
96,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.8666666746139526,0.8666666746139526,463.42420019209385,1.6088876724243164,0.2084764540195465,0.0,,0,,
97,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.5333333611488342,0.5333333611488342,345.5882999114692,1.6089146137237549,0.20709677040576935,0.0,,0,,
98,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6800000071525574,0.6800000071525574,416.0704999230802,1.6093132495880127,0.204061359167099,0.0,,0,,
99,agent,5,1,15,0.0,0.0,prototype,prototype,0,0.6266666650772095,0.6266666650772095,430.70119991898537,1.609162449836731,0.20555740594863892,0.0,,0,,
