episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count
1,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.2933333218097687,0.2933333218097687,591.3408002816141,1.6081606149673462,0.21396459639072418,1.6405729184043594e-05,,0
2,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.3466666638851166,0.3733333349227905,526.5681003220379,1.6077488660812378,0.21547694504261017,4.1590323235141113e-05,,0
3,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.4000000059604645,0.41333332657814026,498.3001002110541,1.608142614364624,0.21407027542591095,0.00011497810191940516,,0
4,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.3199999928474426,0.30666667222976685,470.77419981360435,1.6079611778259277,0.2135467529296875,3.403972368687391e-05,,0
5,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.3866666555404663,0.30666667222976685,496.0213000886142,1.6083331108093262,0.2127971351146698,9.102572221308947e-05,,0
6,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.4000000059604645,0.4399999976158142,493.1745999492705,1.6080597639083862,0.2140451818704605,9.13172189029865e-05,,0
7,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.2666666805744171,0.2266666740179062,588.9265998266637,1.6082179546356201,0.21311849355697632,2.848204894689843e-05,,0
8,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.3199999928474426,0.3199999928474426,532.5990999117494,1.6082769632339478,0.21291232109069824,2.0260327801224776e-05,,0
9,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.36000001430511475,0.30666667222976685,466.0988999530673,1.6081668138504028,0.2130592167377472,3.9247748645721003e-05,,0
10,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.3199999928474426,0.2933333218097687,510.74930001050234,1.608159065246582,0.2136208862066269,2.437794864817988e-05,,0
11,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.36000001430511475,0.36000001430511475,469.0662999637425,1.6084827184677124,0.21187567710876465,2.078567740682047e-05,,0
12,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.2933333218097687,0.2800000011920929,471.1122000589967,1.6083552837371826,0.21232114732265472,3.815691525232978e-05,,0
13,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.3333333432674408,0.3199999928474426,472.3853999748826,1.6081472635269165,0.21375709772109985,5.67163951927796e-05,,0
14,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.2666666805744171,0.2266666740179062,439.44930005818605,1.6080284118652344,0.21395693719387054,6.749725434929132e-05,,0
15,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.5733333230018616,0.47999998927116394,485.12830026447773,1.6076242923736572,0.21578173339366913,0.00011589328642003238,,0
16,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.2933333218097687,0.30666667222976685,471.0088996216655,1.6078816652297974,0.21480600535869598,6.39587888144888e-05,,0
17,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.36000001430511475,0.3466666638851166,463.32750003784895,1.6079812049865723,0.2141709327697754,0.00010571882012300193,,0
18,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.3333333432674408,0.3199999928474426,501.23570021241903,1.60800302028656,0.21460843086242676,4.48242572019808e-05,,0
19,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.2666666805744171,0.23999999463558197,484.22930017113686,1.6081030368804932,0.21363860368728638,1.5136306501517538e-05,,0
20,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.41333332657814026,0.3866666555404663,438.66079999133945,1.608082890510559,0.21402707695960999,0.00011403313692426309,,0
21,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.3199999928474426,0.30666667222976685,437.92669987306,1.6077364683151245,0.21559402346611023,0.00010114728502230719,,0
22,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.2666666805744171,0.2933333218097687,576.728300191462,1.6082234382629395,0.21307845413684845,2.3773880457156338e-05,,0
23,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.30666667222976685,0.25333333015441895,483.77039982005954,1.6081591844558716,0.21421994268894196,3.7722824345109984e-05,,0
24,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.2933333218097687,0.2133333384990692,530.8731002733111,1.607873797416687,0.2147357165813446,0.00014767331595066935,,0
25,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.3199999928474426,0.2933333218097687,473.49119978025556,1.607993245124817,0.2139638513326645,4.258537956047803e-05,,0
26,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.3199999928474426,0.2933333218097687,545.644000172615,1.6080195903778076,0.21439893543720245,7.33192719053477e-05,,0
27,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.2933333218097687,0.2666666805744171,508.95609986037016,1.6084328889846802,0.21221241354942322,5.696666266885586e-05,,0
28,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.3866666555404663,0.3866666555404663,450.99749974906445,1.608124017715454,0.21368102729320526,7.755685510346666e-05,,0
29,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.3866666555404663,0.4266666769981384,460.79100016504526,1.6082684993743896,0.21314364671707153,3.408787233638577e-05,,0
30,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.3866666555404663,0.30666667222976685,355.78460013493896,1.6079858541488647,0.2149231731891632,5.286803934723139e-05,,0
31,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.2800000011920929,0.2800000011920929,358.4998999722302,1.608278751373291,0.2129838615655899,4.001498018624261e-05,,0
32,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.3733333349227905,0.3333333432674408,372.6594001054764,1.6081366539001465,0.21448887884616852,6.645624671364203e-05,,0
33,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.2800000011920929,0.25333333015441895,376.04960007593036,1.607671856880188,0.21616312861442566,8.046100447245408e-06,,0
34,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.2133333384990692,0.23999999463558197,420.4616001807153,1.6084589958190918,0.21199022233486176,0.00015205286035779864,,0
35,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.23999999463558197,0.3199999928474426,369.9142001569271,1.6082526445388794,0.21306811273097992,6.4235289755743e-05,,0
36,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.30666667222976685,0.3466666638851166,326.32269989699125,1.6081844568252563,0.2133333384990692,5.8893423556583e-05,,0
37,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.23999999463558197,0.2266666740179062,330.6138999760151,1.608301043510437,0.21260587871074677,4.914312739856541e-05,,0
38,ridge,5,1,15,0.05,0.0,ridge,ridge,0,0.2800000011920929,0.2933333218097687,323.57060024514794,1.6082385778427124,0.2133599817752838,3.939468660973944e-05,,0
