episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count,holdout_acc_proto,holdout_acc_ridge
96,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.25333333015441895,0.25333333015441895,333.14159978181124,1.605262041091919,0.2240036576986313,0.0,HIGH_ENTROPY|LOW_CONF,2,,
97,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.3199999928474426,0.3199999928474426,324.78180015459657,1.606171727180481,0.2212064117193222,0.0,HIGH_ENTROPY|LOW_CONF,2,,
98,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.23999999463558197,0.23999999463558197,300.8801001124084,1.6048774719238281,0.22530397772789001,0.0,HIGH_ENTROPY|LOW_CONF,2,,
99,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.25333333015441895,0.25333333015441895,298.675199970603,1.6038380861282349,0.2289523333311081,0.0,HIGH_ENTROPY|LOW_CONF,2,,
100,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.2266666740179062,0.2266666740179062,333.04090006276965,1.6060054302215576,0.2227732539176941,0.0,HIGH_ENTROPY|LOW_CONF,2,,
101,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.20000000298023224,0.20000000298023224,321.4325001463294,1.6056981086730957,0.22366124391555786,0.0,HIGH_ENTROPY|LOW_CONF,2,,
102,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.30666667222976685,0.30666667222976685,335.2014999836683,1.6047283411026,0.22640164196491241,0.0,HIGH_ENTROPY|LOW_CONF,2,,
103,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.25333333015441895,0.25333333015441895,316.9825002551079,1.6053110361099243,0.2242293506860733,0.0,HIGH_ENTROPY|LOW_CONF,2,,
104,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.25333333015441895,0.25333333015441895,344.60469987243414,1.6050976514816284,0.2249533087015152,0.0,HIGH_ENTROPY|LOW_CONF,2,,
105,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.2800000011920929,0.2800000011920929,364.88209990784526,1.605556607246399,0.2241021990776062,0.0,HIGH_ENTROPY|LOW_CONF,2,,
