episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count,holdout_acc_proto,holdout_acc_ridge
1,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.4399999976158142,0.4399999976158142,446.96629978716373,1.6090224981307983,0.20724980533123016,0.0,,0,0.20000000298023224,0.20000000298023224
2,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.3866666555404663,0.3866666555404663,422.3996000364423,1.6089348793029785,0.2081325650215149,0.0,,0,0.4000000059604645,0.4000000059604645
3,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.5733333230018616,0.5733333230018616,454.0769997984171,1.6084957122802734,0.2111615687608719,0.0,,0,0.6000000238418579,0.6000000238418579
4,agent,5,5,15,0.05,0.0,ridge,ridge,0,0.4533333480358124,0.4266666769981384,397.6642000488937,1.604760766029358,0.22760337591171265,0.0006840978167019784,,0,0.4000000059604645,0.4000000059604645
5,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.41333332657814026,0.41333332657814026,411.2760000862181,1.6091976165771484,0.2056874781847,0.0,,0,0.6000000238418579,0.4000000059604645
6,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.4399999976158142,0.4399999976158142,399.3016998283565,1.6090549230575562,0.20743487775325775,0.0,,0,0.6000000238418579,0.6000000238418579
7,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.4000000059604645,0.4000000059604645,450.0140999443829,1.608929991722107,0.20798751711845398,0.0,,0,0.6000000238418579,0.6000000238418579
8,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.4266666769981384,0.4266666769981384,386.153900064528,1.6090786457061768,0.20743030309677124,0.0,,0,0.800000011920929,0.6000000238418579
9,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.5199999809265137,0.5199999809265137,407.4703003279865,1.6087676286697388,0.20927058160305023,0.0,,0,0.6000000238418579,0.6000000238418579
10,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.41333332657814026,0.41333332657814026,565.8785002306104,1.6090844869613647,0.20715674757957458,0.0,,0,0.6000000238418579,0.4000000059604645
11,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.4533333480358124,0.4533333480358124,563.2779002189636,1.6090059280395508,0.20781414210796356,0.0,,0,0.6000000238418579,0.6000000238418579
12,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.47999998927116394,0.47999998927116394,464.80440022423863,1.6088777780532837,0.20808978378772736,0.0,,0,0.800000011920929,0.800000011920929
13,agent,5,5,15,0.05,0.0,ridge,ridge,0,0.3466666638851166,0.41333332657814026,441.7285001836717,1.6047463417053223,0.22730621695518494,0.0007485799724236131,,0,0.4000000059604645,0.4000000059604645
14,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.5066666603088379,0.5066666603088379,419.0974999219179,1.6090480089187622,0.20733173191547394,0.0,,0,0.4000000059604645,0.4000000059604645
15,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.41333332657814026,0.41333332657814026,439.6100998856127,1.6091101169586182,0.20625101029872894,0.0,,0,0.6000000238418579,0.6000000238418579
16,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.47999998927116394,0.47999998927116394,409.53150019049644,1.6090099811553955,0.207652285695076,0.0,,0,0.6000000238418579,0.20000000298023224
17,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.5066666603088379,0.5066666603088379,413.67160016670823,1.6089357137680054,0.20774565637111664,0.0,,0,0.6000000238418579,0.6000000238418579
18,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.2800000011920929,0.2800000011920929,480.6202002801001,1.6092140674591064,0.2055736482143402,0.0,,0,0.0,0.0
19,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.41333332657814026,0.41333332657814026,494.44300029426813,1.6090604066848755,0.2076845020055771,0.0,,0,0.800000011920929,0.800000011920929
20,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.54666668176651,0.54666668176651,484.8195002414286,1.6087303161621094,0.20929253101348877,0.0,,0,0.20000000298023224,0.20000000298023224
21,agent,5,5,15,0.05,0.0,ridge,ridge,0,0.41333332657814026,0.4533333480358124,455.6797998957336,1.6040807962417603,0.2295219451189041,0.0008017882937565446,,0,0.0,0.20000000298023224
22,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.41333332657814026,0.41333332657814026,479.45600003004074,1.6090636253356934,0.20699654519557953,0.0,,0,0.4000000059604645,0.4000000059604645
23,agent,5,5,15,0.05,0.0,prototype,prototype,0,0.4933333396911621,0.4933333396911621,507.89619982242584,1.608758807182312,0.20875012874603271,0.0,,0,0.4000000059604645,0.4000000059604645
