episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count
1,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.2266666740179062,0.2266666740179062,328.45050003379583,1.605547308921814,0.22435271739959717,0.0,,0
2,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.3466666638851166,0.3466666638851166,342.80129987746477,1.6048870086669922,0.22422455251216888,0.0,,0
3,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.36000001430511475,0.36000001430511475,331.36980002745986,1.6049842834472656,0.22525039315223694,0.0,,0
4,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.20000000298023224,0.20000000298023224,318.928400054574,1.6052701473236084,0.22367238998413086,0.0,,0
5,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.2266666740179062,0.2266666740179062,321.7167002148926,1.6056525707244873,0.2228097766637802,0.0,,0
6,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.2133333384990692,0.2133333384990692,309.60969999432564,1.6065566539764404,0.22047320008277893,0.0,,0
7,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.20000000298023224,0.20000000298023224,315.7017002813518,1.6058076620101929,0.22282445430755615,0.0,,0
8,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.2933333218097687,0.2933333218097687,299.81209989637136,1.605617642402649,0.2236289530992508,0.0,,0
9,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.25333333015441895,0.25333333015441895,329.00999998673797,1.6056208610534668,0.2233298420906067,0.0,,0
10,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.2133333384990692,0.2133333384990692,318.8897999934852,1.6054668426513672,0.22422613203525543,0.0,,0
11,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.3333333432674408,0.3333333432674408,293.50800020620227,1.6060411930084229,0.22198209166526794,0.0,,0
12,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.25333333015441895,0.25333333015441895,281.04469971731305,1.605760097503662,0.22202768921852112,0.0,,0
13,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.2266666740179062,0.2266666740179062,318.2831001468003,1.6055506467819214,0.22362107038497925,0.0,,0
14,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.2133333384990692,0.2133333384990692,302.4576995521784,1.6041955947875977,0.22721511125564575,0.0,,0
15,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.2800000011920929,0.2800000011920929,300.0503000803292,1.6036851406097412,0.22854553163051605,0.0,,0
16,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.14666666090488434,0.14666666090488434,300.8598000742495,1.6052428483963013,0.22425585985183716,0.0,,0
17,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.18666666746139526,0.18666666746139526,292.5486001186073,1.605732798576355,0.22169296443462372,0.0,,0
18,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.2800000011920929,0.2800000011920929,290.41000036522746,1.6050437688827515,0.22489216923713684,0.0,,0
19,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.2266666740179062,0.2266666740179062,286.4500000141561,1.6056514978408813,0.22304728627204895,0.0,,0
20,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.20000000298023224,0.20000000298023224,296.28359992057085,1.6039873361587524,0.2283504158258438,0.0,,0
21,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.30666667222976685,0.30666667222976685,340.6477002426982,1.6038386821746826,0.22846391797065735,0.0,,0
22,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.20000000298023224,0.20000000298023224,308.04350040853024,1.605461835861206,0.22423939406871796,0.0,,0
23,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.23999999463558197,0.23999999463558197,321.953599806875,1.6058275699615479,0.22315506637096405,0.0,,0
24,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.1733333319425583,0.1733333319425583,300.5701997317374,1.604077935218811,0.22816996276378632,0.0,,0
25,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.13333334028720856,0.13333334028720856,296.55069997534156,1.6056632995605469,0.2235606163740158,0.0,,0
26,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.13333334028720856,0.13333334028720856,288.6850000359118,1.6048643589019775,0.22518709301948547,0.0,,0
27,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.18666666746139526,0.18666666746139526,290.16320034861565,1.6057862043380737,0.2233685553073883,0.0,,0
28,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.14666666090488434,0.14666666090488434,294.2902999930084,1.6059715747833252,0.2221083641052246,0.0,,0
29,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.2266666740179062,0.2266666740179062,325.4457996226847,1.6052151918411255,0.2248719483613968,0.0,,0
30,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.1733333319425583,0.1733333319425583,326.7843001522124,1.6056618690490723,0.22338154911994934,0.0,,0
31,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.20000000298023224,0.20000000298023224,308.2676003687084,1.6050565242767334,0.2255263477563858,0.0,,0
32,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.2133333384990692,0.2133333384990692,322.56329990923405,1.6053544282913208,0.22568005323410034,0.0,,0
33,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.23999999463558197,0.23999999463558197,323.05769994854927,1.6045527458190918,0.2268221080303192,0.0,,0
34,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.23999999463558197,0.23999999463558197,330.4005996324122,1.6049641370773315,0.22644628584384918,0.0,,0
35,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.2666666805744171,0.2666666805744171,307.7183999121189,1.6056921482086182,0.22306020557880402,0.0,,0
36,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.20000000298023224,0.20000000298023224,298.1865997426212,1.6053534746170044,0.2249397337436676,0.0,,0
37,proto,5,1,15,0.1,0.0,prototype,prototype,0,0.1733333319425583,0.1733333319425583,288.7953999452293,1.6054630279541016,0.22375831007957458,0.0,,0
