episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count
1,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.8799999952316284,0.8799999952316284,416.3793004117906,1.609350323677063,0.20381611585617065,0.0,,0
2,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9466666579246521,0.9466666579246521,429.0046999230981,1.6084392070770264,0.21037599444389343,0.0,,0
3,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,410.977799911052,1.6089186668395996,0.20782068371772766,0.0,,0
4,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.8933333158493042,0.8933333158493042,420.3482000157237,1.6091643571853638,0.2061544507741928,0.0,,0
5,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,390.01960027962923,1.6092387437820435,0.205203115940094,0.0,,0
6,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9066666960716248,0.9066666960716248,412.32569981366396,1.608892560005188,0.20820361375808716,0.0,,0
7,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9466666579246521,0.9466666579246521,379.69240033999085,1.6088899374008179,0.20846183598041534,0.0,,0
8,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.8799999952316284,0.8799999952316284,416.0934002138674,1.6089838743209839,0.2071099579334259,0.0,,0
9,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9066666960716248,0.9066666960716248,418.94249990582466,1.6090008020401,0.20740383863449097,0.0,,0
10,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,429.02430007234216,1.607696533203125,0.21315747499465942,0.0,,0
11,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9066666960716248,0.9066666960716248,443.709600251168,1.6092532873153687,0.20495112240314484,0.0,,0
12,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,398.60890014097095,1.6089731454849243,0.2089434564113617,0.0,,0
13,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9066666960716248,0.9066666960716248,416.74030013382435,1.6090424060821533,0.2060323804616928,0.0,,0
14,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.8266666531562805,0.8266666531562805,405.50659969449043,1.6092745065689087,0.20441517233848572,0.0,,0
15,proto,5,5,15,0.0,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,422.29099990800023,1.6091150045394897,0.2067202776670456,0.0,,0
