episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count,holdout_acc_proto,holdout_acc_ridge
1,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.5733333230018616,0.5733333230018616,478.481899946928,1.6090505123138428,0.20724056661128998,0.0,HIGH_ENTROPY|LOW_CONF,2,0.0,0.0
2,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.23999999463558197,0.23999999463558197,597.135600168258,1.6092000007629395,0.20580945909023285,0.0,HIGH_ENTROPY|LOW_CONF,2,0.20000000298023224,0.20000000298023224
3,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.5199999809265137,0.5199999809265137,463.23540015146136,1.6088379621505737,0.20816612243652344,0.0,HIGH_ENTROPY|LOW_CONF,2,0.6000000238418579,0.4000000059604645
4,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.4000000059604645,0.4000000059604645,470.96170019358397,1.6090935468673706,0.2070314586162567,0.0,HIGH_ENTROPY|LOW_CONF,2,0.20000000298023224,0.20000000298023224
5,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.6266666650772095,0.6266666650772095,443.75859992578626,1.60871160030365,0.20979686081409454,0.0,HIGH_ENTROPY|LOW_CONF,2,0.800000011920929,0.800000011920929
6,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.3733333349227905,0.3733333349227905,465.98519990220666,1.6091586351394653,0.2063167840242386,0.0,HIGH_ENTROPY|LOW_CONF,2,0.20000000298023224,0.20000000298023224
7,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.46666666865348816,0.46666666865348816,425.2336001954973,1.6088968515396118,0.2084093540906906,0.0,HIGH_ENTROPY|LOW_CONF,2,0.6000000238418579,0.6000000238418579
8,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.36000001430511475,0.36000001430511475,433.3803001791239,1.6089982986450195,0.20766665041446686,0.0,HIGH_ENTROPY|LOW_CONF,2,0.800000011920929,0.4000000059604645
9,agent_sentinel,5,5,15,0.05,0.0,ridge,prototype,1,0.4266666769981384,0.4266666769981384,408.65019988268614,1.6046465635299683,0.22651952505111694,0.0006830031634308398,HIGH_ENTROPY|LOW_CONF,2,0.20000000298023224,0.4000000059604645
10,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.2800000011920929,0.2800000011920929,457.42740016430616,1.6090775728225708,0.20689792931079865,0.0,HIGH_ENTROPY|LOW_CONF,2,0.6000000238418579,0.4000000059604645
11,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.3866666555404663,0.3866666555404663,449.0353004075587,1.6090587377548218,0.20717285573482513,0.0,HIGH_ENTROPY|LOW_CONF,2,0.6000000238418579,0.6000000238418579
12,agent_sentinel,5,5,15,0.05,0.0,ridge,prototype,1,0.4399999976158142,0.4399999976158142,411.09450021758676,1.6031768321990967,0.22940513491630554,0.0008497509406879544,HIGH_ENTROPY|LOW_CONF,2,0.0,0.4000000059604645
13,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.5066666603088379,0.5066666603088379,491.749900393188,1.609009861946106,0.20775865018367767,0.0,HIGH_ENTROPY|LOW_CONF,2,0.6000000238418579,0.6000000238418579
14,agent_sentinel,5,5,15,0.05,0.0,ridge,prototype,1,0.4533333480358124,0.4533333480358124,464.72250018268824,1.6042550802230835,0.22759369015693665,0.0007791767711751163,HIGH_ENTROPY|LOW_CONF,2,0.0,0.20000000298023224
15,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.41333332657814026,0.41333332657814026,448.6191002652049,1.6090233325958252,0.20710191130638123,0.0,HIGH_ENTROPY|LOW_CONF,2,0.6000000238418579,0.6000000238418579
16,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.3733333349227905,0.3733333349227905,448.5357003286481,1.6086002588272095,0.20957578718662262,0.0,HIGH_ENTROPY|LOW_CONF,2,0.6000000238418579,0.4000000059604645
17,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.4933333396911621,0.4933333396911621,407.7390003949404,1.6090470552444458,0.2075546532869339,0.0,HIGH_ENTROPY|LOW_CONF,2,0.800000011920929,0.800000011920929
18,agent_sentinel,5,5,15,0.05,0.0,ridge,prototype,1,0.36000001430511475,0.36000001430511475,475.5774000659585,1.6038905382156372,0.22810541093349457,0.0009193090372718871,HIGH_ENTROPY|LOW_CONF,2,0.0,0.0
19,agent_sentinel,5,5,15,0.05,0.0,ridge,prototype,1,0.4266666769981384,0.4266666769981384,408.18289993330836,1.6047284603118896,0.22600382566452026,0.0006763606215827167,HIGH_ENTROPY|LOW_CONF,2,0.800000011920929,0.800000011920929
20,agent_sentinel,5,5,15,0.05,0.0,ridge,prototype,1,0.47999998927116394,0.47999998927116394,474.05750025063753,1.6037317514419556,0.22848816215991974,0.0008704711799509823,HIGH_ENTROPY|LOW_CONF,2,0.20000000298023224,0.4000000059604645
21,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.4266666769981384,0.4266666769981384,492.50639975070953,1.6090539693832397,0.20709095895290375,0.0,HIGH_ENTROPY|LOW_CONF,2,0.20000000298023224,0.20000000298023224
22,agent_sentinel,5,5,15,0.05,0.0,prototype,prototype,0,0.46666666865348816,0.46666666865348816,426.0071003809571,1.6091103553771973,0.20650194585323334,0.0,HIGH_ENTROPY|LOW_CONF,2,0.4000000059604645,0.4000000059604645
